total_inflow_30d,inflow_regularity,inflow_trend,avg_payment_size,unique_customers_30d,repeat_customer_ratio,customer_growth_rate,savings_retention_rate,weekday_trading_ratio,association_verified,prior_repayment_score,neighbour_attested,repaid
110449.45,0.364,0.0413,29640.66,36,0.3871,0.3074,0.4434,0.5242,0,0.0,0,1
59189.84,0.6306,-0.0789,3487.22,15,0.8474,0.3982,0.3253,0.8244,1,0.7363,0,1
43165.07,0.2513,0.1658,5250.41,28,0.7132,0.2518,0.5657,0.7891,1,0.8345,0,0
35199.46,0.5573,0.1158,1027.64,18,0.4927,0.1623,0.2202,0.8354,0,0.0,0,0
9639.51,0.5652,0.1286,15202.89,34,0.9274,0.6936,0.1045,0.5564,1,0.6947,0,1
22207.19,0.545,-0.0547,1406.7,45,0.4544,0.3735,0.315,0.7553,1,0.9135,0,1
29534.0,0.5833,-0.3476,4890.74,31,0.5911,0.7163,0.1356,0.6814,1,0.8037,0,1
156816.95,0.4978,0.2375,1498.81,24,0.4268,0.1653,0.1306,0.6247,0,0.8168,1,1
71537.72,0.3447,-0.0462,2368.52,23,0.361,0.6979,0.5448,0.7472,0,0.9285,1,1
7049.1,0.6239,-0.1153,1894.03,12,0.3064,0.4425,0.4583,0.4833,0,0.0,1,0
70016.93,0.5004,0.1648,2328.34,42,0.9436,0.2618,0.2514,0.48,1,0.0,1,1
32093.52,0.6714,-0.0306,2476.97,42,0.6333,0.5616,0.2897,0.6653,0,0.0,1,1
23280.84,0.5856,0.2308,2456.66,45,0.4461,0.2785,0.2792,0.7795,0,0.0,0,0
96071.11,0.6288,0.1511,8518.54,30,0.5132,0.7291,0.3628,0.7229,0,0.0,0,1
152374.94,0.4897,0.163,1488.65,44,0.5877,0.4981,0.2156,0.7818,0,0.8752,0,1
136544.81,0.48,-0.2059,4907.34,50,0.8603,0.3035,0.014,0.7797,1,0.7306,0,1
19474.49,0.8775,0.2581,12042.09,28,0.2939,0.3436,0.0829,0.548,1,0.9098,1,0
34886.89,0.9072,0.087,2535.44,24,0.4411,0.4875,0.1748,0.7335,1,0.0,0,1
70572.07,0.8098,-0.0265,2108.8,44,0.5496,0.3461,0.2144,0.8068,0,0.0,1,1
143357.91,0.6108,0.0658,3269.94,27,0.7837,0.7109,0.383,0.5266,0,0.0,0,1
28937.93,0.5531,-0.2797,11634.76,23,0.2264,0.634,0.4825,0.7845,0,0.0,1,0
39965.63,0.3006,0.1136,4791.97,36,0.7167,0.7739,0.1721,0.8702,1,0.0,0,1
14516.36,0.639,-0.1453,2494.66,24,0.9215,0.3972,0.2689,0.7841,1,0.0,0,0
13149.94,0.4413,-0.2035,6219.77,20,0.2022,0.4829,0.3793,0.51,1,0.0,1,0
119823.9,0.3071,-0.234,1492.1,29,0.8721,0.0424,0.1719,0.5627,0,0.877,0,1
217915.8,0.5994,0.2403,7429.57,22,0.9497,0.1692,0.4638,0.7097,1,0.0,0,1
45287.61,0.9008,-0.0733,5812.39,45,0.5664,0.4643,0.0767,0.9764,0,0.8196,0,1
147840.04,0.3233,0.3161,3050.23,20,0.8844,0.5517,0.2457,0.7529,1,0.0,0,1
72969.7,0.5777,-0.0564,1891.78,24,0.8236,0.3415,0.2447,0.6492,1,0.5788,0,1
24109.67,0.5355,-0.2673,1811.64,16,0.6765,0.4353,0.3727,0.7945,0,0.0,0,0
72950.41,0.6308,-0.161,6511.57,35,0.789,0.2805,0.1117,0.673,1,0.0,0,1
266156.62,0.6875,0.2624,12162.13,31,0.2691,0.3413,0.4658,0.6536,1,0.0,0,1
47126.53,0.4376,0.0119,2267.48,41,0.4371,0.1803,0.4029,0.6942,1,0.8456,0,1
274061.56,0.4871,-0.0587,6078.71,35,0.7547,0.7439,0.2511,0.7333,1,0.0,1,1
2747.04,0.6725,0.0688,615.03,27,0.2768,0.4954,0.2179,0.9389,0,0.0,1,0
121066.2,0.4136,0.1303,2377.59,27,0.4404,0.4087,0.362,0.7961,0,0.9346,0,1
53946.7,0.3558,0.2411,3912.95,58,0.4539,0.1795,0.4091,0.4699,1,0.0,0,0
35280.72,0.5992,0.3007,1774.52,37,0.7644,0.3729,0.4301,0.8103,0,0.0,0,0
54227.14,0.5374,-0.0248,1732.19,28,0.8029,0.1536,0.1705,0.9526,1,0.0,1,1
5506.44,0.5737,-0.1987,2206.14,23,0.7607,0.5193,0.1486,0.8737,0,0.7412,1,1
38497.98,0.7637,-0.0344,5234.22,54,0.1625,0.4985,0.1477,0.744,0,0.0,1,1
72607.52,0.7001,0.0869,3399.57,14,0.5578,0.3601,0.4457,0.4166,0,0.0,0,0
249118.37,0.5322,-0.1335,536.78,27,0.5802,0.2505,0.251,0.8921,1,0.0,0,1
27719.81,0.578,-0.1323,596.67,19,0.9515,0.9535,0.1237,0.8399,1,0.0,0,1
20143.9,0.37,0.1019,2330.46,19,0.6729,0.2521,0.3838,0.2893,1,0.8495,0,0
28227.93,0.2757,0.0312,6074.88,39,0.7005,0.4159,0.3973,0.834,0,0.0,0,1
134180.65,0.5647,0.0459,339.42,37,0.5699,0.6426,0.2189,0.539,1,0.0,0,0
70377.31,0.6683,-0.0965,2566.36,38,0.8499,0.3129,0.0949,0.4963,1,0.0,1,0
27371.67,0.762,-0.0015,2505.83,18,0.7338,0.7685,0.7369,0.6946,0,0.0,0,1
86214.54,0.7795,-0.1264,14037.73,47,0.5963,0.1867,0.2359,0.7475,1,0.0,1,1
54545.22,0.7797,0.2002,2845.46,31,0.7423,0.1262,0.3585,0.6092,1,0.0,0,1
142273.92,0.7018,0.2263,5679.91,32,0.673,0.4999,0.2258,0.9032,1,0.0,1,1
22646.07,0.4774,-0.2923,4569.37,28,0.8883,0.3015,0.1523,0.7931,1,0.45,1,1
34186.01,0.4723,-0.1273,591.4,14,0.7671,0.7354,0.3285,0.5885,1,0.0,1,1
31846.44,0.7282,-0.2294,8033.59,31,0.469,0.1661,0.1195,0.8645,1,0.0,1,1
9799.96,0.6015,-0.077,4884.67,25,0.7553,0.3852,0.3727,0.8172,1,0.0,1,0
67895.99,0.7278,0.025,6357.83,46,0.4812,0.6933,0.5857,0.6489,1,0.0,0,1
65327.01,0.6096,-0.2209,137807.62,44,0.5639,0.2285,0.2031,0.6615,0,0.8199,0,1
49297.31,0.5297,-0.1259,616.65,36,0.8135,0.4643,0.1873,0.8677,1,0.0,1,1
37871.5,0.5898,-0.1407,19000.62,26,0.6866,0.1164,0.1336,0.6423,0,0.0,1,0
10332.94,0.4523,0.0773,3106.64,43,0.5528,0.1774,0.1931,0.9321,1,0.877,1,1
30862.28,0.8228,0.0525,5211.36,28,0.3833,0.4758,0.2199,0.6185,1,0.0,0,1
33624.63,0.4847,-0.0899,3862.38,48,0.6733,0.1815,0.4594,0.7258,0,0.0,0,0
20282.12,0.6453,0.0718,2746.79,30,0.5073,0.452,0.332,0.75,1,0.0,1,1
41051.63,0.4725,-0.0584,2409.44,30,0.5703,0.2053,0.4354,0.6867,1,0.0,1,0
76454.87,0.8129,-0.0089,5413.0,29,0.8734,0.666,0.1961,0.5648,0,0.504,0,1
390352.12,0.3069,0.3412,1027.15,18,0.3248,0.3818,0.314,0.4073,0,0.0,0,0
59399.17,0.4101,0.2813,7907.14,16,0.4761,0.4279,0.2987,0.7915,1,0.0,0,0
65075.63,0.6928,-0.1939,2766.74,31,0.8628,0.4525,0.0384,0.8054,1,0.0,0,1
45166.43,0.5947,0.1894,1455.26,29,0.4762,0.2866,0.0439,0.9443,0,0.0,0,0
5939.33,0.4568,0.1861,2683.8,60,0.385,0.5844,0.0496,0.9027,0,0.892,0,1
47611.74,0.6778,-0.1667,12474.41,57,0.4993,0.7256,0.2396,0.6013,1,0.0,1,1
52378.59,0.544,0.1874,2485.42,26,0.8216,0.2838,0.4062,0.6993,1,0.8727,0,1
736427.69,0.4977,0.3168,5555.86,31,0.6357,0.3914,0.145,0.6302,1,0.0,0,1
39672.08,0.4928,-0.1621,2084.2,20,0.471,0.2357,0.0911,0.7094,1,0.7955,1,0
68302.53,0.7555,-0.1252,7959.57,25,0.6792,0.043,0.1773,0.7202,1,0.0,1,0
47184.33,0.6672,0.2232,7457.36,31,0.8497,0.2918,0.2568,0.884,1,0.0,1,1
13554.23,0.6684,0.0889,21242.26,35,0.529,0.6681,0.1352,0.5447,1,0.8624,0,1
172319.41,0.5837,0.1393,3435.76,36,0.4222,0.4183,0.1043,0.3469,1,0.6288,1,1
112097.73,0.5725,0.1013,7345.1,42,0.7177,0.1109,0.0987,0.8619,0,0.0,0,1
117024.1,0.42,0.1103,4395.17,29,0.5505,0.5213,0.6799,0.7931,1,0.0,1,1
18027.86,0.7917,-0.1988,12916.81,23,0.4171,0.6434,0.0816,0.6004,1,0.0,0,0
229365.88,0.3947,0.2285,2107.06,25,0.4694,0.2658,0.3462,0.637,1,0.6982,0,0
10487.76,0.8286,0.2505,7867.57,37,0.4308,0.0894,0.6697,0.357,0,0.0,0,1
93483.74,0.5912,-0.0013,3377.1,16,0.7262,0.2999,0.4471,0.8352,0,0.6506,0,0
545523.51,0.6733,0.0322,3798.0,14,0.6522,0.5963,0.104,0.762,0,0.6156,1,1
16488.36,0.4954,-0.2356,4370.26,34,0.8921,0.245,0.5785,0.1383,1,0.8104,0,1
26293.38,0.2326,0.1326,5049.36,25,0.8096,0.3315,0.0855,0.7062,0,0.0,0,0
54699.86,0.556,0.143,3624.22,19,0.4148,0.4938,0.1741,0.5531,1,0.0,0,1
28174.62,0.4791,0.0288,4881.67,44,0.3484,0.3192,0.22,0.8893,1,0.8844,0,1
8904.13,0.5035,0.2424,16652.34,37,0.3647,0.3781,0.1116,0.9649,0,0.7351,1,1
52860.9,0.2696,-0.0201,9768.37,39,0.52,0.594,0.2909,0.9014,0,0.9055,1,1
15236.76,0.6971,0.1416,8797.64,33,0.7998,0.1897,0.1476,0.7953,0,0.0,1,1
82532.85,0.8231,-0.1435,2670.48,19,0.9368,0.0396,0.6671,0.7834,0,0.743,0,1
17829.92,0.8929,0.0358,1807.47,23,0.6447,0.3046,0.2081,0.7637,0,0.0,0,1
269662.87,0.6114,0.0086,9506.88,33,0.4066,0.323,0.403,0.7022,1,0.0,0,1
20711.02,0.4489,0.0806,8852.38,15,0.744,0.5217,0.5779,0.5029,1,0.8476,0,1
34397.26,0.7551,-0.0265,15144.67,16,0.7777,0.4586,0.351,0.6,1,0.0,0,1
119954.64,0.546,0.0163,2336.52,13,0.8718,0.2487,0.6586,0.8377,0,0.9785,1,1
12658.06,0.6539,0.1887,3272.82,19,0.5886,0.1798,0.4372,0.3703,1,0.0,0,0
62956.92,0.4802,-0.0386,920.08,23,0.1512,0.5156,0.3192,0.7125,0,0.0,0,0
206458.98,0.4189,-0.2492,2826.45,27,0.1688,0.0738,0.2306,0.4347,1,0.0,0,0
8364.64,0.6115,0.3549,9866.63,36,0.4216,0.2662,0.0695,0.9697,1,0.0,0,0
60059.87,0.6845,0.2887,2644.28,29,0.5249,0.1437,0.2444,0.7254,1,0.0,1,1
65242.81,0.5956,-0.1926,7161.19,26,0.8271,0.2283,0.1313,0.9209,1,0.8557,0,1
115844.63,0.6941,0.1641,3389.87,17,0.4267,0.1187,0.4978,0.8566,0,0.7645,0,1
12573.59,0.7294,-0.0505,5386.5,28,0.8337,0.1518,0.1308,0.7442,1,0.0,0,1
11470.09,0.5669,0.0874,1432.36,41,0.7017,0.1844,0.283,0.6651,1,0.0,1,0
87041.1,0.7218,0.093,4344.6,23,0.4911,0.5784,0.3933,0.6226,1,0.45,1,1
67960.58,0.7008,-0.0022,272.59,22,0.7338,0.2773,0.1182,0.6731,1,0.8146,1,0
64572.39,0.566,-0.1011,3400.89,21,0.688,0.2548,0.2922,0.8433,1,0.7461,0,1
71760.76,0.8069,-0.0843,927.58,26,0.811,0.2784,0.1836,0.7435,1,0.6146,0,1
23201.51,0.3141,-0.1249,11913.11,41,0.6593,0.6033,0.3611,0.9593,0,0.0,0,1
63289.78,0.4631,-0.1097,8100.38,33,0.7199,0.1753,0.0873,0.8048,1,0.0,1,0
67668.75,0.7023,0.0279,6124.2,45,0.2866,0.5631,0.6576,0.3428,1,0.0,1,1
22341.77,0.8589,-0.0888,15818.03,26,0.7878,0.5776,0.3138,0.3458,0,0.0,1,1
381685.39,0.5647,0.1628,1712.95,28,0.6441,0.619,0.5908,0.6633,1,0.7999,0,1
82554.69,0.6012,0.3077,19392.21,23,0.7668,0.1521,0.4487,0.5143,1,0.0,1,0
13221.06,0.4161,-0.0644,9311.19,40,0.4682,0.1187,0.1622,0.6509,1,0.6587,0,1
100932.67,0.9648,0.0831,3252.24,13,0.8262,0.2975,0.4097,0.7397,1,0.6412,1,1
16778.44,0.7112,0.1299,11181.97,25,0.2413,0.5101,0.5357,0.7123,0,0.8256,0,1
116517.07,0.2524,0.125,1486.73,35,0.5181,0.1901,0.4707,0.8338,1,0.6442,0,0
175335.25,0.5038,0.0537,1915.89,46,0.8309,0.0756,0.3076,0.6917,0,0.0,0,1
19875.63,0.7806,0.1737,2326.85,27,0.7838,0.4077,0.1498,0.6937,0,0.7878,0,1
141451.72,0.4121,0.1268,2499.69,26,0.3863,0.1947,0.3756,0.7288,1,0.0,0,0
77192.61,0.5872,-0.1828,1554.79,30,0.528,0.5402,0.3586,0.7983,1,0.0,1,1
121087.19,0.2861,0.1964,12097.75,22,0.6884,0.6483,0.2037,0.5662,1,0.9301,0,1
394933.34,0.6616,0.1997,3187.62,36,0.9023,0.2073,0.1112,0.6966,1,0.0,0,1
37424.21,0.5753,-0.0974,5526.19,30,0.8319,0.2546,0.3247,0.5382,0,0.7762,0,1
21394.52,0.6745,0.0468,2408.32,23,0.7358,0.2976,0.1341,0.8403,0,0.88,0,1
18426.3,0.6359,0.163,781.69,27,0.5459,0.5081,0.2039,0.8284,1,0.6813,1,1
19982.43,0.7917,0.0023,5130.98,38,0.3633,0.2916,0.3891,0.8433,1,0.0,0,1
45034.68,0.8268,0.2331,719.8,38,0.3067,0.74,0.1278,0.6293,1,0.7694,0,1
71343.9,0.2658,0.4655,3782.84,33,0.3751,0.2033,0.0836,0.5271,0,0.0,1,0
66460.29,0.6112,-0.1015,1174.4,51,0.5083,0.4985,0.0595,0.55,0,0.613,1,1
121771.49,0.8026,-0.2086,24065.83,34,0.4559,0.698,0.3489,0.8029,0,0.0,0,1
49726.94,0.5487,0.0947,9138.27,34,0.3833,0.4488,0.3605,0.7044,1,0.6056,1,1
242531.65,0.8663,0.1699,4425.68,21,0.262,0.2245,0.2126,0.5441,0,0.0,1,1
36639.33,0.5225,-0.0016,12548.24,26,0.3949,0.0565,0.4501,0.4298,1,0.0,1,0
976945.44,0.689,0.3016,1878.66,22,0.9855,0.6328,0.2318,0.8047,1,0.0,0,1
97561.1,0.8518,-0.2009,6562.53,39,0.7455,0.347,0.2385,0.7943,1,0.0,1,1
19093.95,0.3581,0.1647,4816.63,34,0.2474,0.3097,0.2142,0.7354,1,0.8569,0,1
15093.48,0.5541,-0.0691,5103.17,15,0.8556,0.9039,0.0574,0.9737,0,0.0,0,0
83342.98,0.8352,0.3495,12646.28,45,0.4165,0.5876,0.1723,0.6549,0,0.0,0,1
38337.77,0.7128,0.3987,7779.47,42,0.2949,0.446,0.0603,0.657,1,0.0,0,1
107516.6,0.6249,-0.098,5217.91,48,0.1237,0.3899,0.1847,0.8737,0,0.0,1,1
82500.64,0.7306,-0.0589,907.42,22,0.857,0.4904,0.4014,0.7235,1,0.0,0,1
45246.84,0.6716,0.1947,1695.88,16,0.792,0.2787,0.0458,0.6351,0,0.7554,0,1
19312.87,0.6546,-0.0297,3603.14,28,0.5789,0.1514,0.1753,0.6475,0,0.0,0,1
9261.93,0.6279,0.0318,4376.63,8,0.8452,0.618,0.1734,0.492,1,0.0,0,1
29996.43,0.5183,0.0446,1455.08,17,0.2862,0.4213,0.3743,0.7172,0,0.0,1,0
125748.44,0.6266,-0.3055,35260.16,41,0.5799,0.2094,0.1416,0.7305,1,0.0,0,0
62038.05,0.8725,0.0375,15752.5,28,0.647,0.4785,0.429,0.7898,1,0.0,0,1
12452.63,0.4742,-0.0842,6918.17,17,0.6534,0.1103,0.1517,0.7442,0,0.0,1,0
59307.97,0.7903,-0.0488,4293.4,25,0.474,0.6359,0.4414,0.9283,0,0.864,1,1
74895.5,0.2862,0.2999,3324.29,19,0.8847,0.6732,0.4097,0.591,0,0.0,0,1
18541.32,0.4246,-0.1862,1708.33,36,0.4215,0.4428,0.2698,0.676,0,0.0,0,0
58052.18,0.5165,0.1864,4314.48,39,0.9088,0.1919,0.2251,0.7646,1,0.0,1,1
52262.25,0.5899,-0.0102,5074.47,35,0.837,0.1707,0.0889,0.7795,1,0.8484,1,1
13943.0,0.511,-0.0104,1316.08,32,0.7224,0.5622,0.2724,0.9464,0,0.7896,1,1
72661.44,0.3728,0.1823,5435.78,20,0.1933,0.6069,0.4431,0.6788,1,0.0,1,0
90840.73,0.224,0.1012,3499.12,32,0.4373,0.8354,0.109,0.8297,0,0.7355,1,1
161354.06,0.5961,0.1427,722.68,45,0.4133,0.4269,0.4498,0.6039,1,0.0,1,1
156245.26,0.6065,0.2143,1855.03,28,0.498,0.3097,0.4899,0.8173,0,0.0,1,0
10770.47,0.7303,-0.0196,2773.19,43,0.6466,0.378,0.141,0.7782,1,0.0,0,1
17472.66,0.269,-0.0702,22002.67,21,0.3551,0.3083,0.2681,0.9263,0,0.0,0,1
86382.36,0.4356,-0.1553,6640.2,23,0.32,0.1693,0.623,0.7992,0,0.0,0,0
86263.73,0.667,-0.1086,1209.63,25,0.5099,0.498,0.1744,0.7142,0,0.0,0,1
86383.54,0.7004,0.5708,6231.88,18,0.4432,0.3917,0.4209,0.7504,1,0.0,1,1
3395646.2,0.8298,0.264,999.67,21,0.6522,0.5558,0.1404,0.7647,0,0.0,1,1
91856.2,0.2349,-0.2032,10661.79,49,0.0933,0.321,0.2385,0.6269,0,0.0,1,0
170949.28,0.6982,-0.198,2633.29,32,0.6348,0.2909,0.157,0.6261,0,0.0,1,0
140000.59,0.6343,0.1267,3698.67,37,0.7126,0.6232,0.2278,0.7696,0,0.9387,0,1
100361.14,0.8064,0.1385,13269.41,34,0.4601,0.327,0.3788,0.7649,1,0.0,1,1
34655.23,0.317,0.1388,1263.39,36,0.7323,0.2424,0.2668,0.8454,1,0.7369,0,1
112968.71,0.4715,-0.0059,1144.35,54,0.7501,0.528,0.2707,0.4149,1,0.8655,0,1
20949.97,0.6916,0.0174,2379.77,31,0.7361,0.4041,0.1405,0.666,1,0.0,0,1
37778.65,0.6485,0.099,10244.96,16,0.8212,0.716,0.5573,0.7232,0,0.0,1,1
28741.58,0.533,0.0555,1025.14,55,0.6536,0.5296,0.5458,0.8294,1,0.0,0,1
53640.6,0.696,-0.3595,314.52,20,0.5733,0.3067,0.3654,0.7962,1,0.0,1,1
625386.05,0.2436,-0.0014,2681.03,17,0.4,0.1344,0.6709,0.6558,1,0.0,0,1
6285.55,0.3275,-0.1133,6611.51,50,0.0884,0.3598,0.3952,0.7776,1,0.0,0,0
104285.35,0.604,0.0715,11851.81,25,0.8486,0.5745,0.0308,0.7654,1,0.0,0,1
8316.63,0.5657,0.5773,2652.23,31,0.521,0.3357,0.0933,0.6113,1,0.8225,0,0
29169.38,0.6744,0.1061,2778.64,30,0.801,0.4833,0.1771,0.5657,1,0.0,1,1
162404.54,0.5839,-0.0164,11367.47,31,0.5262,0.5063,0.3793,0.817,1,0.7081,0,1
52612.45,0.4606,0.2059,747.87,41,0.8244,0.4448,0.0687,0.8249,0,0.0,1,1
14980.14,0.7788,0.1269,2836.51,10,0.4976,0.3716,0.2827,0.7264,1,0.8133,1,1
22318.38,0.5247,0.1156,4776.11,44,0.6526,0.4227,0.4137,0.9031,1,0.0,1,0
103523.87,0.51,0.1492,6028.76,36,0.5565,0.2517,0.1929,0.6875,0,0.0,0,1
21951.63,0.87,0.4102,2543.19,33,0.5422,0.3794,0.2972,0.8417,0,0.6568,1,1
62199.64,0.3236,-0.1636,4150.55,33,0.4396,0.1567,0.3428,0.4669,0,0.766,0,0
51540.8,0.5288,0.1253,428.59,24,0.4344,0.7151,0.3627,0.8094,0,0.0,0,0
23938.41,0.6314,-0.1267,2225.14,20,0.5986,0.2794,0.2191,0.6871,1,0.0,0,1
518315.03,0.5149,0.14,6052.08,33,0.7235,0.6475,0.4451,0.6814,0,0.8422,1,1
98450.67,0.4473,-0.1254,1662.26,27,0.935,0.8017,0.1958,0.4776,1,0.8267,0,1
5283.5,0.5993,-0.0351,4243.25,26,0.4307,0.7208,0.2816,0.6202,1,0.0,0,1
60180.26,0.4711,-0.0131,6016.04,14,0.324,0.1825,0.2568,0.566,0,0.0,0,0
23671.69,0.7439,0.2156,2956.34,85,0.201,0.3287,0.2316,0.7966,1,0.6,0,1
125201.12,0.2449,0.2053,4691.08,11,0.3971,0.346,0.307,0.7244,0,0.0,0,0
20500.96,0.6285,-0.1842,1691.79,22,0.5602,0.4065,0.5086,0.8446,0,0.9018,1,1
43208.39,0.4878,0.0499,3341.08,21,0.5924,0.6827,0.0603,0.6914,1,0.0,0,1
85432.85,0.6269,-0.0877,6968.77,28,0.6866,0.3216,0.2379,0.8852,0,0.9348,1,1
127049.33,0.6905,-0.1865,4634.46,36,0.4283,0.3868,0.0969,0.5815,1,0.8968,1,1
13090.92,0.4427,0.0009,2373.5,46,0.6852,0.5382,0.0603,0.9968,1,0.45,1,1
33929.79,0.6056,-0.0155,4923.6,25,0.6784,0.5321,0.1583,0.5925,0,0.0,0,0
29072.85,0.2607,0.4768,7655.26,30,0.4236,0.5075,0.5457,0.8945,1,0.0,0,0
23892.93,0.3268,0.1179,635.91,24,0.4335,0.2495,0.321,0.9074,0,0.0,0,0
341806.36,0.6836,-0.208,11420.52,22,0.1506,0.1672,0.2067,0.8226,1,0.8894,0,1
76533.2,0.5435,-0.0617,2973.13,32,0.7732,0.2906,0.1688,0.4901,1,0.8051,1,1
12246.89,0.7987,0.2238,5901.38,45,0.546,0.5381,0.3448,0.5618,0,0.0,0,1
134544.21,0.6187,0.4159,11819.69,21,0.6758,0.4267,0.2594,0.9226,0,0.6449,1,1
506040.42,0.484,-0.2455,1170.86,13,0.5152,0.4032,0.2175,0.6811,1,0.45,1,1
152620.81,0.5292,-0.2984,2124.95,19,0.6397,0.3017,0.0846,0.701,1,0.0,0,0
9215.97,0.5247,0.3768,3103.56,23,0.7175,0.7706,0.137,0.8913,0,0.0,1,1
28777.31,0.4794,0.1101,1987.48,23,0.5861,0.7322,0.5089,0.3506,1,0.7034,0,1
197521.41,0.3639,-0.1163,19176.54,35,0.6197,0.3663,0.3031,0.7879,0,0.0,0,1
22506.59,0.6749,0.1362,1861.07,21,0.8017,0.1405,0.1346,0.8651,1,0.8242,1,1
79873.66,0.6649,-0.4344,2440.62,23,0.6618,0.904,0.3316,0.6925,0,0.0,1,1
114932.18,0.7783,0.0406,4836.52,17,0.4103,0.9263,0.4371,0.6052,0,0.5803,0,1
17683.31,0.5927,0.099,1363.85,14,0.3326,0.6884,0.1707,0.6527,1,0.0,0,1
45913.85,0.7535,0.2064,2818.29,16,0.4995,0.3182,0.233,0.631,0,0.0,0,1
1386.59,0.5154,-0.1425,5354.58,18,0.3918,0.3896,0.248,0.8515,0,0.0,0,0
15885.68,0.5362,0.0554,2982.23,35,0.6595,0.5778,0.1267,0.7477,0,0.0,1,0
